words_en,meaning_words_en,statment_words_en,meaning_words_ar,statment_words_ar,words_ar,id,stat
Cheap,Inexpensive or relatively low in price,The store offered cheap clothes during the sale.,غير مكلفة أو منخفضة نسبيا في السعر,قدم المتجر ملابس رخيصة أثناء البيع.,رخيص,88,0
Deep,Extending far down or inwards,The ocean is deep and full of undiscovered mysteries.,يمتد إلى أسفل أو إلى الداخل,المحيط عميق ومليء بالألغاز غير المكتشفة.,عميق,89,0
Formal,"Following established forms, conventions, or rules",The event requires formal attire and proper etiquette.,بعد النماذج المحددة أو الاتفاقيات أو القواعد,يتطلب الحدث ملابس رسمية وآداب مناسبة.,رَسمِيّ,90,0
Lost,Unable to find one's way or unable to be recovered,She realized she was lost in the unfamiliar neighborhood.,غير قادر على إيجاد طريقة أو غير قادر على استردادها,أدركت أنها ضاعت في الحي غير المألوف.,ضائع,91,0
Smooth,Having an even and regular surface or consistency,The baby's skin was soft and smooth.,وجود سطح أو تناسق متساوٍ ومنتظم,كان جلد الطفل ناعمًا وسلسًا.,سلس,92,0
Equal,"Being the same in quantity, size, degree, or value","In a fair competition, all participants have an equal chance.",أن تكون كما هو في الكمية أو الحجم أو الدرجة أو القيمة,في مسابقة عادلة ، يتمتع جميع المشاركين بفرصة متساوية.,متساوي,93,0
Firm,Resolute and determined,The manager took a firm stance on workplace ethics.,حازم وحزم,اتخذ المدير موقفا حازما من أخلاقيات مكان العمل.,حازم,94,0
Sensitive,Easily affected or offended by external conditions,Some people are sensitive to changes in temperature.,تأثر بسهولة أو الإساءة إلى الشروط الخارجية,بعض الناس حساسون للتغيرات في درجة الحرارة.,حساس,95,0
Soft,Having a pleasing texture or being gentle to the touch,The blanket was soft and cozy.,وجود نسيج ممتع أو أن تكون لطيفًا لللمس,كانت البطانية ناعمة ومريحة.,ناعم,96,0
Weird,Suggesting something supernatural or uncanny,"The old house had a weird atmosphere, giving chills to visitors.",اقتراح شيء خارق أو غريب,كان للمنزل القديم جو غريب ، يعطي قشعريرة للزوار.,غريب,97,0
Solid,"Firm, stable, and not easily broken or destroyed",The foundation of the building is solid and secure.,شركة ، مستقرة ، ولا يمكن كسرها أو تدميرها بسهولة,أساس المبنى صلب وآمن.,صلب,98,0
Wise,"Having or showing experience, knowledge, and good judgment",The wise elder offered valuable advice to the young generation.,وجود أو إظهار الخبرة والمعرفة والحكم الجيد,قدم The Wise Elder نصيحة قيمة للجيل الشاب.,حكيم,99,0
Busy,"Engaged in activity, often with a crowded schedule",She's too busy to join us for dinner tonight.,تشارك في النشاط ، وغالبًا مع جدول زمني مزدحم,إنها مشغولة جدًا بالانضمام إلينا لتناول العشاء الليلة.,مشغول,100,0
Proud,Feeling deep pleasure or satisfaction as a result of one's achievements or qualities,She felt proud of her team's success in the competition.,الشعور بالسرور العميق أو الرضا نتيجة لإنجازات الفرد أو الصفات,شعرت بالفخر بنجاح فريقها في المسابقة.,فخور,101,0
Sad,Feeling or showing sorrow or unhappiness,The news about the accident made her feel sad.,الشعور أو إظهار الحزن أو التعاسة,الأخبار عن الحادث جعلتها تشعر بالحزن.,حزين,102,0
Sick,Affected by physical or mental illness,He stayed home from work because he was feeling sick.,متأثر بالمرض البدني أو العقلي,بقي في المنزل من العمل لأنه كان يشعر بالمرض.,مريض,103,0
Strange,Unusual or surprising in a way that is unsettling or hard to understand,The strange noise in the night made them uneasy.,غير عادي أو مفاجئ بطريقة مزعجة أو يصعب فهمها,الضوضاء الغريبة في الليل جعلتهم غير مرتاحين.,غريب,104,0
Illegal,Contrary to or forbidden by law,Driving under the influence of alcohol is illegal.,على عكس القانون أو ممنوع القانون,القيادة تحت تأثير الكحول غير قانوني.,غير قانوني,105,0
Ordinary,With no special or distinctive features,The movie told the story of an ordinary man's life.,مع عدم وجود ميزات خاصة أو مميزة,روى الفيلم قصة حياة رجل عادي.,عادي,106,0
Usual,"Occurring, found, or done often",Having a cup of coffee in the morning is a usual routine.,تحدث ، أو العثور عليها ، أو القيام بها في كثير من الأحيان,إن تناول فنجان من القهوة في الصباح هو روتين معتاد.,معتاد,107,0
Brave,Ready to face danger or endure pain; showing courage,The firefighter displayed brave actions during the rescue.,على استعداد لمواجهة الخطر أو تحمل الألم ؛ تظهر الشجاعة,عرض رجال الإطفاء إجراءات شجاعة أثناء الإنقاذ.,شجاع,108,0
Calm,"Not showing or feeling nervousness, anger, or other strong emotions",She remained calm during the stressful situation.,عدم إظهار أو الشعور بالتوتر أو الغضب أو المشاعر القوية الأخرى,ظلت هادئة خلال الوضع المجهد.,هادئ,109,0
Dirty,Covered or marked with an unclean substance,The children came home with dirty clothes after playing in the mud.,مغطاة أو تميز بمواد نجسة,عاد الأطفال إلى المنزل بملابس قذرة بعد اللعب في الوحل.,متسخ,110,0
Honest,Free of deceit and untruthfulness; sincere,He appreciated her honest and straightforward communication.,خالية من الخداع والخداع ؛ مخلص,وأعرب عن تقديرها لتواصلها الصادق والمباشر.,أمين,111,0
Quiet,Making little or no noise,The library is a quiet place for studying and reading.,صنع ضوضاء ضئيلة أو معدومة,المكتبة هي مكان هادئ للدراسة والقراءة.,هادئ,112,0
Brilliant,Exceptionally clever or talented,The scientist came up with a brilliant solution to the problem.,ذكي أو موهوب بشكل استثنائي,توصل العالم إلى حل رائع للمشكلة.,باهِر,113,0
Neat,Arranged in an orderly and tidy way,His desk was always neat and well-organized.,مرتبة بطريقة منظمة ومرتبة,كان مكتبه دائمًا أنيقًا ومنظمًا جيدًا.,مرتب,114,0
Slight,Small in degree or extent,She noticed a slight improvement in her performance.,صغير في درجة أو مدى,لاحظت تحسنًا طفيفًا في أدائها.,طفيف,115,0
Smart,Having or showing a quick-witted intelligence,The smart student easily grasped complex concepts.,امتلاك أو إظهار ذكاء سريع,الطالب الذكي يسهل فهم المفاهيم المعقدة.,ذكي,116,0
Stupid,Lacking intelligence or common sense,It was a stupid mistake that could have been avoided.,نقص الذكاء أو الحس السليم,لقد كان خطأ غبي كان يمكن تجنبه.,غبي,117,0
First,Coming before all others in time or order,She was the first to arrive at the meeting.,قادم أمام الآخرين في الوقت المناسب أو النظام,كانت أول من وصل إلى الاجتماع.,أولاً,118,0
Future,Yet to come or happen,Planning for the future is essential for success.,بعد أن تأتي أو يحدث,التخطيط للمستقبل ضروري للنجاح.,مستقبل,119,0
Kind,"Having or showing a friendly, generous, or considerate nature",The kind neighbor always helps others in need.,امتلاك أو إظهار الطبيعة الودية أو السخية أو المرتفعة,الجار اللطيف يساعد الآخرين دائمًا.,عطوف,120,0
