vrebs_en,vreb_ar,words1,mean1,mean2,mean3,mean4,mean_ar_1,mean_ar_2,mean_ar_3,mean_ar_4,,id,stats
appear,يظهر,appear,"come into sight; become visible or noticeable, typically without visible agent or apparent cause",The sun appeared behind the clouds.,She appears confident in meetings.,They will appear on the show next week.,تأتي في الأفق؛ تصبح مرئية أو ملحوظة ، عادةً بدون وكيل مرئي أو سبب واضح,ظهرت الشمس خلف الغيوم.,تبدو واثقة في الاجتماعات.,سوف تظهر في العرض الأسبوع المقبل.,,25,0
explain,يشرح,explain,"make (an idea, situation, or problem) clear to someone",She explained the concept well.,He explains the process in the meeting.,We will explain the details later.,توضيح (فكرة أو موقف أو مشكلة) لشخص ما,شرحت المفهوم جيدا.,يشرح العملية في الاجتماع.,سنشرح التفاصيل لاحقًا.,,26,0
explore,يستكشف,explore,travel in or through (an unfamiliar country or area),They explored the ancient ruins.,He explores new technologies.,We plan to explore new destinations.,السفر في أو من خلال (بلد أو منطقة غير مألوفة),استكشفوا الأنقاض القديمة.,يستكشف تقنيات جديدة.,نخطط لاستكشاف وجهات جديدة.,,27,0
lose,يخسر,lose,be deprived of or cease to have or retain (something),I lost my keys yesterday.,He loses his wallet frequently.,Be careful not to lose your way.,كن محرومًا أو توقف عن الحصول على أو الاحتفاظ به (شيء ما),لقد فقدت مفاتيحي أمس.,يفقد محفظته بشكل متكرر.,احرص على ألا تفقد طريقك.,,28,0
agree,يوافق,agree,have the same opinion about something; concur,We agreed on the terms.,They agree on the importance of the issue.,We will agree on the plan tomorrow.,لديهم نفس الرأي حول شيء ما ؛ تتفق,اتفقنا على الشروط.,يتفقون على أهمية القضية.,سوف نتفق على الخطة غدا.,,29,0
forget,ينسى,forget,fail to remember (something),She forgot her appointment.,He forgets names easily.,Don't forget to call me later.,فشل في تذكر (شيء ما),لقد نسيت تعيينها.,ينسى الأسماء بسهولة.,لا تنس الاتصال بي لاحقًا.,,30,0
recommend,يوصي,recommend,suggest or endorse (someone or something) as worthy or suitable,She recommended a good book.,They recommend this restaurant.,We will recommend the solution.,اقترح أو يؤيد (شخص ما أو شيء ما) على أنه يستحق أو مناسب,أوصت بكتاب جيد.,يوصون هذا المطعم.,سوف نوصي الحل.,,31,0
rely,يعتمد,rely,depend on with full trust or confidence,We relied on his expertise.,The team relies on teamwork.,We will rely on your support.,تعتمد على الثقة الكاملة أو الثقة,اعتمدنا على خبرته.,يعتمد الفريق على العمل الجماعي.,سنعتمد على دعمكم.,,32,0
generate,يولد,generate,produce or create (something),The windmill generates electricity.,Solar panels generate clean energy.,We will generate a report by tomorrow.,إنتاج أو إنشاء (شيء ما),طاحونة الهواء يولد الكهرباء.,الألواح الشمسية تولد طاقة نظيفة.,سنقوم بإنشاء تقرير بحلول الغد.,,33,0
obtain,يحصل على,obtain,acquire or secure (something),They obtained the necessary permits.,He obtains information from reliable sources.,We will obtain approval next week.,اكتساب أو تأمين (شيء ما),لقد حصلوا على التصاريح اللازمة.,يحصل على معلومات من مصادر موثوقة.,سوف نحصل على موافقة الأسبوع المقبل.,,34,0
accept,يقبل,accept,agree to receive or undertake (something),She accepted the job offer.,They accept the terms and conditions.,We will accept your proposal.,توافق على تلقي أو تعهد (شيء ما),قبلت عرض العمل.,يقبلون الشروط والأحكام.,سوف نقبل اقتراحك.,,35,0
complain,يشتكي,complain,express dissatisfaction or annoyance about a state of affairs,He complained about the service.,She complains about the noise.,We will complain to the management.,التعبير عن عدم الرضا أو الإزعاج بشأن الحالة,اشتكى من الخدمة.,إنها تشكو من الضوضاء.,سوف نشكو إلى الإدارة.,,36,0
enter,يدخل,enter,come or go into (a place),They entered the building.,He enters the room quietly.,We will enter the competition.,تعال أو اذهب إلى (مكان),دخلوا المبنى.,يدخل الغرفة بهدوء.,سندخل المنافسة.,,37,0
happen,يحدث,happen,take place; occur,It happened unexpectedly.,Accidents happen without warning.,What will happen in the future is uncertain.,تجري؛ يحدث,لقد حدث بشكل غير متوقع.,تحدث الحوادث دون سابق إنذار.,ماذا سيحدث في المستقبل غير مؤكد.,,38,0
suggest,يقترح,suggest,put forward for consideration,She suggested a new idea.,They suggest improvements.,We will suggest alternatives.,تم طرحه للنظر فيه,اقترحت فكرة جديدة.,يقترحون تحسينات.,سوف نقترح بدائل.,,39,0
survive,ينجو,survive,"continue to live or exist, especially in spite of danger or hardship",They survived the earthquake.,He survives in harsh conditions.,We will survive this challenge.,استمر في العيش أو الوجود ، خاصة على الرغم من الخطر أو المشقة,لقد نجوا من الزلزال.,انه على قيد الحياة في ظروف قاسية.,سنبقى على قيد الحياة هذا التحدي.,,40,0
appreciate,يُقَدِّر,appreciate,recognize the full worth of; be grateful for,She appreciated the gesture.,He appreciates art and culture.,We will appreciate your assistance.,التعرف على القيمة الكاملة ؛ كن ممتنا ل,لقد قدرت الإيماءة.,انه يقدر الفن والثقافة.,سنقدر مساعدتك.,,41,0
hear,يسمع,hear,perceive with the ear; listen to,He heard a strange noise.,She hears music playing.,We will hear your side of the story.,إدراك الأذن ؛ استمع إلى,سمع ضوضاء غريبة.,تسمع الموسيقى.,سوف نسمع جانبك من القصة.,,42,0
reduce,يقلل,reduce,"make smaller or less in amount, degree, or size",They reduced their expenses.,We reduce waste through recycling.,We will reduce our carbon footprint.,جعل أصغر أو أقل في الكمية أو الشهادة أو الحجم,لقد قللوا من نفقاتهم.,نحن نقلل النفايات من خلال إعادة التدوير.,سنقوم بتقليل بصمة الكربون لدينا.,,43,0
speak,يتكلم,speak,talk or converse,She spoke eloquently.,He speaks multiple languages.,We will speak with the manager later.,تحدث أو يتحدث,تحدثت ببلاغة.,يتحدث لغات متعددة.,سوف نتحدث مع المدير لاحقًا.,,44,0
appear,يظهر,appear,"come into sight; become visible or noticeable, typically without visible agent or apparent cause",The sun appeared from behind the clouds.,She appears confident in meetings.,They will appear on the show next week.,تأتي في الأفق؛ تصبح مرئية أو ملحوظة ، عادةً بدون وكيل مرئي أو سبب واضح,ظهرت الشمس من وراء الغيوم.,تبدو واثقة في الاجتماعات.,سوف تظهر في العرض الأسبوع المقبل.,,45,0
axplain,Axplain,axplain,clarify or make clear,He explained the situation.,She explains the rules.,We will explain the process to everyone.,توضيح أو توضح,شرح الوضع.,تشرح القواعد.,سنشرح العملية للجميع.,,46,0
explore,يستكشف,axplore,investigate or travel in (a region) for the purpose of discovery,They explored the uncharted territory.,She explores new opportunities.,We plan to explore new markets.,التحقيق أو السفر في (منطقة) لغرض الاكتشاف,استكشفوا الأراضي المجهولة.,إنها تستكشف فرصًا جديدة.,نخطط لاستكشاف أسواق جديدة.,,47,0
lose,يخسر,lose (repeated),be deprived of or cease to have or retain (something),She lost her way in the forest.,He loses his keys often.,Don't lose your ticket.,كن محرومًا أو توقف عن الحصول على أو الاحتفاظ به (شيء ما),فقدت طريقها في الغابة.,يفقد مفاتيحه في كثير من الأحيان.,لا تفقد تذكرتك.,,48,0
agree,يوافق,agree,have the same opinion about something; concur,We agreed on the plan.,They agree on the proposed solution.,We will agree on the terms later.,لديهم نفس الرأي حول شيء ما ؛ تتفق,اتفقنا على الخطة.,يتفقون على الحل المقترح.,سوف نتفق على الشروط لاحقًا.,,49,0
forget,ينسى,forget,fail to remember (something),She forgot her keys at home.,He forgets names easily.,Don't forget to call me tomorrow.,فشل في تذكر (شيء ما),لقد نسيت مفاتيحها في المنزل.,ينسى الأسماء بسهولة.,لا تنس الاتصال بي غدا.,,50,0
recommend,يوصي,recommend,suggest or endorse (someone or something) as worthy or suitable,She recommended a good book.,They recommend this product.,We will recommend a reliable service.,اقترح أو يؤيد (شخص ما أو شيء ما) على أنه يستحق أو مناسب,أوصت بكتاب جيد.,يوصون هذا المنتج.,سوف نوصي بخدمة موثوقة.,,51,0
rely,يعتمد,rely,depend on with full trust or confidence,We relied on his expertise.,The team relies on teamwork.,We will rely on your guidance.,تعتمد على الثقة الكاملة أو الثقة,اعتمدنا على خبرته.,يعتمد الفريق على العمل الجماعي.,سنعتمد على إرشادك.,,52,0
generate,يولد,generate,produce or create (something),The windmill generated electricity.,Solar panels generate clean energy.,We will generate a report by next week.,إنتاج أو إنشاء (شيء ما),ولدت طاحونة الهواء الكهربائية.,الألواح الشمسية تولد طاقة نظيفة.,سنقوم بإنشاء تقرير بحلول الأسبوع المقبل.,,53,0
obtain,يحصل على,obtain,acquire or secure (something),They obtained the necessary permits.,He obtains information from reliable sources.,We will obtain approval soon.,اكتساب أو تأمين (شيء ما),لقد حصلوا على التصاريح اللازمة.,يحصل على معلومات من مصادر موثوقة.,سوف نحصل على الموافقة قريبا.,,54,0
eccept,Eccept,accept,agree to receive or undertake (something),She accepted the challenge.,They accept the terms and conditions.,We will accept your proposal.,توافق على تلقي أو تعهد (شيء ما),قبلت التحدي.,يقبلون الشروط والأحكام.,سوف نقبل اقتراحك.,,55,0
complain,يشتكي,complain,express dissatisfaction or annoyance about a state of affairs,He complained about the service.,She complains about the noise.,We will complain to the management.,التعبير عن عدم الرضا أو الإزعاج بشأن الحالة,اشتكى من الخدمة.,إنها تشكو من الضوضاء.,سوف نشكو إلى الإدارة.,,56,0
enter,يدخل,enter,come or go into (a place),They entered the building.,He enters the room quietly.,We will enter the competition next month.,تعال أو اذهب إلى (مكان),دخلوا المبنى.,يدخل الغرفة بهدوء.,سندخل المسابقة الشهر المقبل.,,57,0
happen,يحدث,happen,take place; occur,It happened unexpectedly.,Accidents happen without warning.,What will happen in the future is uncertain.,تجري؛ يحدث,لقد حدث بشكل غير متوقع.,تحدث الحوادث دون سابق إنذار.,ماذا سيحدث في المستقبل غير مؤكد.,,58,0
suggest,يقترح,suggest,put forward for consideration,She suggested a new idea.,They suggest improvements.,We will suggest alternatives.,تم طرحه للنظر فيه,اقترحت فكرة جديدة.,يقترحون تحسينات.,سوف نقترح بدائل.,,59,0
survive,ينجو,survive,"continue to live or exist, especially in spite of danger or hardship",They survived the ordeal.,He survives in challenging conditions.,We will survive this difficult period.,استمر في العيش أو الوجود ، خاصة على الرغم من الخطر أو المشقة,لقد نجوا من المحنة.,انه البقاء في ظروف صعبة.,سوف نبقى على قيد الحياة في هذه الفترة الصعبة.,,60,0
appreciate,يُقَدِّر,appreciate,recognize the full worth of; be grateful for,She appreciated the support.,He appreciates acts of kindness.,We will appreciate your efforts.,التعرف على القيمة الكاملة ؛ كن ممتنا ل,لقد قدرت الدعم.,انه يقدر أعمال اللطف.,سنقدر جهودك.,,61,0
hear,يسمع,hear,perceive with the ear; listen to,He heard a strange noise.,She hears music playing.,We will hear your side of the story.,إدراك الأذن ؛ استمع إلى,سمع ضوضاء غريبة.,تسمع الموسيقى.,سوف نسمع جانبك من القصة.,,62,0
compare,يقارن,compare,"estimate, measure, or note the similarity or dissimilarity between",They compared prices.,She compares different options.,We will compare the results later.,تقدير أو قياس أو لاحظ التشابه أو الاختلاف بين,وقارنوا الأسعار.,إنها تقارن الخيارات المختلفة.,سنقارن النتائج لاحقًا.,,63,0
imagine,يتصور,imagine,form a mental image or concept of,He imagined a fantastic journey.,She imagines a better future.,We will imagine new possibilities.,تشكل صورة عقلية أو مفهوم,تخيل رحلة رائعة.,إنها تتخيل مستقبل أفضل.,سوف نتخيل إمكانيات جديدة.,,64,0
manage,يدير,manage,be in charge of; control or administer,She managed the project well.,He manages a team of professionals.,We will manage the event efficiently.,كن مسؤولاً عن ؛ السيطرة أو الإدارة,تمكنت من إدارة المشروع بشكل جيد.,يدير فريق من المهنيين.,سنقوم بإدارة الحدث بكفاءة.,,65,0
differ,اختلف,differ,"be unlike or distinct in nature, form, or characteristics",Their opinions differed.,These two products differ in quality.,We will differ in our approach.,كن مختلفًا أو متميزًا في الطبيعة أو الشكل أو الخصائص,تختلف آرائهم.,هذان المنتجان يختلفان في الجودة.,سوف نختلف في نهجنا.,,66,0
encourage,يشجع,encourage,"give support, confidence, or hope to",She encouraged her students.,They encourage creativity in the workplace.,We will encourage innovation.,قدم الدعم أو الثقة أو الأمل,شجعت طلابها.,أنها تشجع الإبداع في مكان العمل.,سوف نشجع الابتكار.,,67,0
prove,يثبت,prove,demonstrate the truth or existence of (something),The experiment proved the theory.,She proves her skills through hard work.,We will prove our capabilities.,إظهار حقيقة أو وجود (شيء ما),أثبتت التجربة النظرية.,إنها تثبت مهاراتها من خلال العمل الجاد.,سوف نثبت قدراتنا.,,68,0
react,تتفاعل,react,respond or behave in a particular way in response to something,They reacted positively.,He reacts calmly in stressful situations.,We will react promptly to the changes.,الرد أو التصرف بطريقة معينة استجابة لشيء ما,كان رد فعلهم بشكل إيجابي.,يتفاعل بهدوء في المواقف المجهدة.,سوف نتفاعل على الفور مع التغييرات.,,69,0
recognize,يتعرف على,recognize,identify from having encountered or known before,She recognized the familiar face.,They recognize the importance of teamwork.,We will recognize your contributions.,حدد من خلال مواجهته أو معرفته من قبل,لقد أدركت الوجه المألوف.,إنهم يدركون أهمية العمل الجماعي.,سوف نتعرف على مساهماتك.,,70,0
relax,يستريح,relax,make or become less tense or anxious,He relaxed after a long day.,She relaxes by reading a book.,We will relax at the beach this weekend.,جعل أو تصبح أقل توترًا أو قلقًا,استرخ بعد يوم طويل.,ترتاح من خلال قراءة كتاب.,سوف نسترخي على الشاطئ في نهاية هذا الأسبوع.,,71,0
replace,يستبدل,replace,take the place of; substitute for,They replaced the old furniture.,He replaces the batteries regularly.,We will replace the broken part soon.,خذ محل بديلا ل,استبدلوا الأثاث القديم.,انه يحل محل البطاريات بانتظام.,سنحل محل الجزء المكسور قريبًا.,,72,0
borrow,يستعير,borrow,take and use (something belonging to someone else),She borrowed a book from the library.,They borrow tools from their neighbor.,We will borrow a tent for the camping trip.,خذ واستخدم (شيء ينتمي إلى شخص آخر),استعارت كتاب من المكتبة.,يقترضون أدوات من جارهم.,سوف نقترض خيمة لرحلة التخييم.,,73,0
enable,يُمكَِن,enable,give (someone) the authority or means to do something,The new technology enabled faster communication.,The software enables efficient data analysis.,We will enable new features in the next update.,امنح (شخص ما) السلطة أو الوسائل لفعل شيء ما,التكنولوجيا الجديدة مكنت التواصل بشكل أسرع.,يتيح البرنامج تحليل البيانات الفعال.,سنمكّن ميزات جديدة في التحديث التالي.,,74,0
reflect,يعكس,reflect,think deeply or carefully about,He reflected on his life choices.,She reflects on her goals regularly.,We will reflect on the lessons learned.,فكر بعمق أو بعناية,انعكس على خيارات حياته.,إنها تنعكس على أهدافها بانتظام.,سوف نفكر في الدروس المستفادة.,,75,0
sand,رمل,sand,smooth or polish with sandpaper or a mechanical sander,He sanded the wooden surface.,She sands the furniture before painting.,We will sand the walls before painting.,ناعم أو تلميع مع ورق الصنفرة أو صنفرة ميكانيكية,انه رمل السطح الخشبي.,انها رمل الأثاث قبل الطلاء.,سنرمل الجدران قبل الرسم.,,76,0
send,يرسل,send,cause to go or be taken to a particular destination,They sent a package to their friend.,He sends emails to clients every day.,We will send the invitations next week.,سبب للذهاب أو نقله إلى وجهة معينة,أرسلوا حزمة إلى صديقهم.,يرسل رسائل البريد الإلكتروني للعملاء كل يوم.,سنرسل الدعوات الأسبوع المقبل.,,77,0
anticipate,يتوقع,anticipate,regard as probable; expect or predict,She anticipated the upcoming challenges.,They anticipate growth in the market.,We will anticipate changes in the industry.,اعتبارًا محتملاً ؛ توقع أو توقع,توقعت التحديات القادمة.,انهم يتوقعون النمو في السوق.,سوف نتوقع التغييرات في الصناعة.,,78,0
install,ثَبَّتَ,install,place or fix (equipment or machinery) in position,They installed a new air conditioner.,He installs software on the computer.,We will install security cameras soon.,ضع أو إصلاح (معدات أو آلات) في الموقف,قاموا بتثبيت مكيف الهواء الجديد.,يقوم بتثبيت البرامج على الكمبيوتر.,سنقوم بتثبيت كاميرات الأمان قريبًا.,,79,0
participate,يشارك,participate,take part in an activity or event,She participated in the marathon.,They participate in team-building exercises.,We will participate in the conference.,شارك في نشاط أو حدث,شاركت في الماراثون.,يشاركون في تمارين بناء الفريق.,سوف نشارك في المؤتمر.,,80,0
antend,النسيج,attend,"be present at (an event, meeting, or function)",They attended the wedding.,He attends the weekly meetings regularly.,We will attend the concert next month.,كن حاضرًا في (حدث أو اجتماع أو وظيفة),حضروا حفل الزفاف.,انه يحضر الاجتماعات الأسبوعية بانتظام.,سنحضر الحفل الشهر المقبل.,,81,0
intend,ينوي,intend,have (a course of action) as one's purpose or objective,She intended to finish the project.,They intend to launch a new product.,We will intend to improve efficiency.,لديك (مسار العمل) كهدف أو هدف للمرء,كانت تنوي إنهاء المشروع.,يعتزمون إطلاق منتج جديد.,سوف نعتزم تحسين الكفاءة.,,82,0
introduce,يقدم,introduce,"bring (something, especially a product, measure, or concept) into use or operation for the first time",They introduced a new policy.,She introduces innovative ideas.,We will introduce a new feature soon.,جلب (شيء ، وخاصة المنتج أو القياس أو المفهوم) قيد الاستخدام أو التشغيل لأول مرة,قدموا سياسة جديدة.,إنها تقدم أفكارًا مبتكرة.,سنقدم ميزة جديدة قريبًا.,,83,0
earn,يكسب,earn,receive (money) in return for work or services,He earned a high salary.,She earns recognition for her achievements.,We will earn profits in the next quarter.,تلقي (المال) مقابل العمل أو الخدمات,حصل على راتب عال.,إنها تكسب التقدير لإنجازاتها.,سنكسب الأرباح في الربع القادم.,,84,0
attract,جذب,attract,"cause to come to a place or participate in a venture by offering something of interest, favorable conditions, or opportunities",They attracted a large audience.,He attracts clients with his expertise.,We will attract investors with our business plan.,سبب للوصول إلى مكان أو المشاركة في مشروع من خلال تقديم شيء يثير الاهتمام أو الشروط المواتية أو الفرص,لقد جذبت جمهورًا كبيرًا.,انه يجذب العملاء مع خبرته.,سنجذب المستثمرين مع خطة أعمالنا.,,85,0
distribute,نشر,distribute,give shares of (something); deal out; apportion,They distributed pamphlets.,She distributes resources efficiently.,We will distribute the prizes at the end.,إعطاء أسهم (شيء) ؛ توزيعات؛ يخصص,قاموا بتوزيع المنشورات.,انها توزع الموارد بكفاءة.,سنقوم بتوزيع الجوائز في النهاية.,,86,0
overcome,يغلب,overcome,succeed in dealing with (a problem or difficulty),He overcame his fear of public speaking.,She overcomes challenges with determination.,We will overcome obstacles together.,تنجح في التعامل مع (مشكلة أو صعوبة),تغلب على خوفه من التحدث أمام الجمهور.,إنها تتغلب على التحديات مع التصميم.,سوف نتغلب على العقبات معًا.,,87,0
owe,يدين,owe,have an obligation to pay or repay money,They owed a debt to the bank.,He owes his success to hard work.,We will owe gratitude to our mentors.,الالتزام بدفع أو سداد المال,كانوا مدينين للدين للبنك.,إنه مدين نجاحه للعمل الشاق.,سوف ندين بالامتنان لموجهيننا.,,88,0
succeed,ينجح,succeed,achieve the desired aim or result; be successful,She succeeded in her business venture.,They succeed in meeting deadlines.,We will succeed in reaching our goals.,تحقيق الهدف أو النتيجة المطلوبة ؛ كن ناجحا,نجحت في مشروعها التجاري.,ينجحون في مواجهة المواعيد النهائية.,سننجح في الوصول إلى أهدافنا.,,89,0
suffer,يعاني,suffer,experience or be subjected to (something bad or unpleasant),They suffered a loss in the stock market.,She suffers from allergies.,"We will suffer setbacks, but we'll overcome them.",خبرة أو تعرض (شيء سيء أو غير سار),لقد عانوا من خسارة في سوق الأوراق المالية.,انها تعاني من الحساسية.,سنعاني من النكسات ، لكننا سنتغلب عليها.,,90,0
throw,يرمي,throw,propel (something) with force through the air by a movement of the arm and hand,He threw the ball to his friend.,She throws a frisbee during lunch breaks.,We will throw a surprise party for her.,دفع (شيء) بقوة عبر الهواء بحركة الذراع واليد,ألقى الكرة على صديقه.,انها ترمي فريسبي خلال استراحات الغداء.,سنرمي حفلة مفاجئة لها.,,91,0
acquire,يكتسب,acquire,buy or obtain (an asset or object) for oneself,They acquired a new company.,He acquires rare books for his collection.,We will acquire the necessary skills.,شراء أو الحصول على (أصل أو كائن) لنفسه,اكتسبوا شركة جديدة.,يكتسب كتبًا نادرة لمجموعته.,سوف نكتسب المهارات اللازمة.,,92,0
argue,يجادل,argue,"give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view",They argued about the decision.,She argues for environmental conservation.,We will argue our case in court.,قدم أسبابًا أو استشهد بالأدلة لدعم فكرة أو عمل أو نظرية ، عادةً بهدف إقناع الآخرين بمشاركة وجهة نظر الفرد,جادلوا حول القرار.,وهي تجادل في الحفاظ على البيئة.,سنناقش قضيتنا في المحكمة.,,93,0
